entry,at,order
"""大炮弟 @ 71ayGh_gzu"" calls 1965 and go all in",2026-02-15T11:07:26.450Z,177115364645000
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:07:25.292Z,177115364529200
"""女神异闻录 @ vYgaUXvtJ2"" bets 10760",2026-02-15T11:07:20.062Z,177115364006200
"Turn: 4♠, 7♠, 6♠ [8♠]",2026-02-15T11:07:14.812Z,177115363481200
"""大炮弟 @ 71ayGh_gzu"" calls 2690",2026-02-15T11:07:13.970Z,177115363397000
"""哈哈弟 @ ZFmgLXkPiV"" calls 2690",2026-02-15T11:07:12.841Z,177115363284100
"""女神异闻录 @ vYgaUXvtJ2"" bets 2690",2026-02-15T11:06:45.031Z,177115360503100
"Flop:  [4♠, 7♠, 6♠]",2026-02-15T11:06:37.327Z,177115359732700
"""女神异闻录 @ vYgaUXvtJ2"" calls 890",2026-02-15T11:06:36.483Z,177115359648300
"""大炮弟 @ 71ayGh_gzu"" calls 890",2026-02-15T11:06:29.966Z,177115358996600
"""哈哈弟 @ ZFmgLXkPiV"" raises to 890",2026-02-15T11:06:28.812Z,177115358881200
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T11:06:23.203Z,177115358320300
"""女神异闻录 @ vYgaUXvtJ2"" raises to 260",2026-02-15T11:06:20.512Z,177115358051200
"""大炮弟 @ 71ayGh_gzu"" calls 90",2026-02-15T11:06:00.596Z,177115356059600
"""哈哈弟 @ ZFmgLXkPiV"" raises to 90",2026-02-15T11:05:57.468Z,177115355746800
"""Wesley @ 4KT6D07Q4u"" posts a big blind of 20",2026-02-15T11:05:53.753Z,177115355375307
"""女神异闻录 @ vYgaUXvtJ2"" posts a small blind of 10",2026-02-15T11:05:53.753Z,177115355375306
"Your hand is A♠, J♣",2026-02-15T11:05:53.753Z,177115355375305
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10659) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (6039) | #8 ""大炮弟 @ 71ayGh_gzu"" (5545) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (30729)",2026-02-15T11:05:53.753Z,177115355375301
"-- starting hand #354 (id: hssnaqxlp1wz)  No Limit Texas Hold'em (dealer: ""大炮弟 @ 71ayGh_gzu"") --",2026-02-15T11:05:53.753Z,177115355375300
"-- ending hand #353 --",2026-02-15T11:05:50.798Z,177115355079802
"""女神异闻录 @ vYgaUXvtJ2"" collected 260 from pot",2026-02-15T11:05:50.798Z,177115355079801
"Uncalled bet of 130 returned to ""女神异闻录 @ vYgaUXvtJ2""",2026-02-15T11:05:50.798Z,177115355079800
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T11:05:49.975Z,177115354997500
"""女神异闻录 @ vYgaUXvtJ2"" bets 130",2026-02-15T11:05:48.514Z,177115354851400
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T11:05:44.784Z,177115354478400
"Turn: 10♥, 7♦, 5♣ [6♦]",2026-02-15T11:05:42.538Z,177115354253800
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:05:41.720Z,177115354172000
"""女神异闻录 @ vYgaUXvtJ2"" calls 100",2026-02-15T11:05:32.766Z,177115353276600
"""大炮弟 @ 71ayGh_gzu"" bets 100",2026-02-15T11:05:26.919Z,177115352691900
"Flop:  [10♥, 7♦, 5♣]",2026-02-15T11:05:23.123Z,177115352312300
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T11:05:22.286Z,177115352228600
"""大炮弟 @ 71ayGh_gzu"" calls 20",2026-02-15T11:05:17.602Z,177115351760200
"""哈哈弟 @ ZFmgLXkPiV"" calls 20",2026-02-15T11:05:16.125Z,177115351612500
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T11:05:13.908Z,177115351390800
"""女神异闻录 @ vYgaUXvtJ2"" posts a big blind of 20",2026-02-15T11:05:12.567Z,177115351256707
"""大炮弟 @ 71ayGh_gzu"" posts a small blind of 10",2026-02-15T11:05:12.567Z,177115351256706
"Your hand is 9♥, A♦",2026-02-15T11:05:12.567Z,177115351256705
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10659) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (6059) | #8 ""大炮弟 @ 71ayGh_gzu"" (5665) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (30589)",2026-02-15T11:05:12.567Z,177115351256701
"-- starting hand #353 (id: jbztaqex4hwr)  No Limit Texas Hold'em (dealer: ""哈哈弟 @ ZFmgLXkPiV"") --",2026-02-15T11:05:12.567Z,177115351256700
"-- ending hand #352 --",2026-02-15T11:05:09.655Z,177115350965502
"""大炮弟 @ 71ayGh_gzu"" collected 80 from pot",2026-02-15T11:05:09.655Z,177115350965501
"Uncalled bet of 100 returned to ""大炮弟 @ 71ayGh_gzu""",2026-02-15T11:05:09.655Z,177115350965500
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:05:08.824Z,177115350882400
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T11:05:06.933Z,177115350693300
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T11:05:05.829Z,177115350582900
"""大炮弟 @ 71ayGh_gzu"" bets 100",2026-02-15T11:04:59.167Z,177115349916700
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:04:56.087Z,177115349608700
"Turn: 2♣, 7♣, 10♦ [2♠]",2026-02-15T11:04:54.417Z,177115349441700
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:04:53.560Z,177115349356000
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T11:04:52.470Z,177115349247000
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T11:04:47.706Z,177115348770600
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:04:43.949Z,177115348394900
"Flop:  [2♣, 7♣, 10♦]",2026-02-15T11:04:42.087Z,177115348208700
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T11:04:41.279Z,177115348127900
"""哈哈弟 @ ZFmgLXkPiV"" calls 20",2026-02-15T11:04:39.787Z,177115347978700
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T11:04:38.483Z,177115347848300
"""女神异闻录 @ vYgaUXvtJ2"" calls 20",2026-02-15T11:04:37.216Z,177115347721600
"""大炮弟 @ 71ayGh_gzu"" posts a big blind of 20",2026-02-15T11:04:33.623Z,177115347362307
"""哈哈弟 @ ZFmgLXkPiV"" posts a small blind of 10",2026-02-15T11:04:33.623Z,177115347362306
"Your hand is 4♣, 4♦",2026-02-15T11:04:33.623Z,177115347362305
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10679) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (6079) | #8 ""大炮弟 @ 71ayGh_gzu"" (5605) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (30609)",2026-02-15T11:04:33.623Z,177115347362301
"-- starting hand #352 (id: gv5ylqgwr4eg)  No Limit Texas Hold'em (dealer: ""Wesley @ 4KT6D07Q4u"") --",2026-02-15T11:04:33.623Z,177115347362300
"-- ending hand #351 --",2026-02-15T11:04:30.680Z,177115347068002
"""大炮弟 @ 71ayGh_gzu"" collected 60 from pot",2026-02-15T11:04:30.680Z,177115347068001
"Uncalled bet of 100 returned to ""大炮弟 @ 71ayGh_gzu""",2026-02-15T11:04:30.680Z,177115347068000
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:04:29.875Z,177115346987500
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T11:04:26.047Z,177115346604700
"""大炮弟 @ 71ayGh_gzu"" bets 100",2026-02-15T11:04:24.749Z,177115346474900
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:04:21.964Z,177115346196400
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:04:18.674Z,177115345867400
"Turn: K♦, 9♥, 2♣ [4♥]",2026-02-15T11:04:17.466Z,177115345746600
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T11:04:16.626Z,177115345662600
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:04:15.015Z,177115345501500
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:04:12.375Z,177115345237500
"Flop:  [K♦, 9♥, 2♣]",2026-02-15T11:04:11.099Z,177115345109900
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:04:10.265Z,177115345026500
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T11:04:09.125Z,177115344912500
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T11:04:08.019Z,177115344801900
"""大炮弟 @ 71ayGh_gzu"" calls 20",2026-02-15T11:04:04.199Z,177115344419900
"""哈哈弟 @ ZFmgLXkPiV"" posts a big blind of 20",2026-02-15T11:04:02.487Z,177115344248707
"""Wesley @ 4KT6D07Q4u"" posts a small blind of 10",2026-02-15T11:04:02.487Z,177115344248706
"Your hand is 9♣, 2♠",2026-02-15T11:04:02.487Z,177115344248705
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10699) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (6099) | #8 ""大炮弟 @ 71ayGh_gzu"" (5565) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (30609)",2026-02-15T11:04:02.487Z,177115344248701
"-- starting hand #351 (id: ris7x0uslt33)  No Limit Texas Hold'em (dealer: ""女神异闻录 @ vYgaUXvtJ2"") --",2026-02-15T11:04:02.487Z,177115344248700
"-- ending hand #350 --",2026-02-15T11:03:59.579Z,177115343957902
"""Wesley @ 4KT6D07Q4u"" collected 560 from pot",2026-02-15T11:03:59.579Z,177115343957901
"Uncalled bet of 280 returned to ""Wesley @ 4KT6D07Q4u""",2026-02-15T11:03:59.579Z,177115343957900
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:03:58.730Z,177115343873000
"""Wesley @ 4KT6D07Q4u"" bets 280",2026-02-15T11:03:57.435Z,177115343743500
"River: 9♥, 7♠, A♦, 10♦ [J♣]",2026-02-15T11:03:52.844Z,177115343284400
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:03:51.983Z,177115343198300
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:03:50.832Z,177115343083200
"Turn: 9♥, 7♠, A♦ [10♦]",2026-02-15T11:03:48.415Z,177115342841500
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T11:03:47.597Z,177115342759700
"""哈哈弟 @ ZFmgLXkPiV"" calls 140",2026-02-15T11:03:46.431Z,177115342643100
"""Wesley @ 4KT6D07Q4u"" bets 140",2026-02-15T11:03:38.895Z,177115341889500
"Flop:  [9♥, 7♠, A♦]",2026-02-15T11:03:35.326Z,177115341532600
"""大炮弟 @ 71ayGh_gzu"" calls 90",2026-02-15T11:03:34.475Z,177115341447500
"""哈哈弟 @ ZFmgLXkPiV"" calls 90",2026-02-15T11:03:33.293Z,177115341329300
"""Wesley @ 4KT6D07Q4u"" raises to 90",2026-02-15T11:03:31.196Z,177115341119600
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T11:03:27.910Z,177115340791000
"""大炮弟 @ 71ayGh_gzu"" calls 20",2026-02-15T11:03:24.036Z,177115340403600
"""哈哈弟 @ ZFmgLXkPiV"" calls 20",2026-02-15T11:03:22.092Z,177115340209200
"""Wesley @ 4KT6D07Q4u"" posts a big blind of 20",2026-02-15T11:03:20.827Z,177115340082707
"""女神异闻录 @ vYgaUXvtJ2"" posts a small blind of 10",2026-02-15T11:03:20.827Z,177115340082706
"Your hand is 5♥, 8♦",2026-02-15T11:03:20.827Z,177115340082705
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10369) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (6329) | #8 ""大炮弟 @ 71ayGh_gzu"" (5655) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (30619)",2026-02-15T11:03:20.827Z,177115340082701
"-- starting hand #350 (id: vb5ofy3mje5n)  No Limit Texas Hold'em (dealer: ""大炮弟 @ 71ayGh_gzu"") --",2026-02-15T11:03:20.827Z,177115340082700
"""哈哈弟 @ ZFmgLXkPiV"" shows a 6♥, 9♠.",2026-02-15T11:03:16.423Z,177115339642300
"""Wesley @ 4KT6D07Q4u"" shows a 9♥.",2026-02-15T11:03:15.609Z,177115339560900
"-- ending hand #349 --",2026-02-15T11:03:13.824Z,177115339382402
"""大炮弟 @ 71ayGh_gzu"" collected 1450 from pot with Flush, A High (combination: 4♥, 5♥, 10♥, J♥, A♥)",2026-02-15T11:03:13.824Z,177115339382401
"""大炮弟 @ 71ayGh_gzu"" shows a 3♦, J♥.",2026-02-15T11:03:13.824Z,177115339382400
"""Wesley @ 4KT6D07Q4u"" calls 435",2026-02-15T11:03:13.000Z,177115339300000
"""大炮弟 @ 71ayGh_gzu"" bets 435",2026-02-15T11:03:09.940Z,177115338994000
"River: A♥, 4♥, 5♥, 10♥ [J♣]",2026-02-15T11:03:06.304Z,177115338630400
"""Wesley @ 4KT6D07Q4u"" calls 100",2026-02-15T11:03:05.473Z,177115338547300
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T11:03:03.843Z,177115338384300
"""大炮弟 @ 71ayGh_gzu"" bets 100",2026-02-15T11:03:01.045Z,177115338104500
"Turn: A♥, 4♥, 5♥ [10♥]",2026-02-15T11:02:57.982Z,177115337798200
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:02:57.170Z,177115337717000
"""Wesley @ 4KT6D07Q4u"" calls 100",2026-02-15T11:02:50.165Z,177115337016500
"""女神异闻录 @ vYgaUXvtJ2"" calls 100",2026-02-15T11:02:48.454Z,177115336845400
"""大炮弟 @ 71ayGh_gzu"" bets 100",2026-02-15T11:02:42.985Z,177115336298500
"Flop:  [A♥, 4♥, 5♥]",2026-02-15T11:02:38.434Z,177115335843400
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T11:02:37.598Z,177115335759800
"""大炮弟 @ 71ayGh_gzu"" calls 20",2026-02-15T11:02:32.914Z,177115335291400
"""哈哈弟 @ ZFmgLXkPiV"" calls 20",2026-02-15T11:02:29.212Z,177115334921200
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T11:02:24.547Z,177115334454700
"""女神异闻录 @ vYgaUXvtJ2"" posts a big blind of 20",2026-02-15T11:02:23.219Z,177115334321907
"""大炮弟 @ 71ayGh_gzu"" posts a small blind of 10",2026-02-15T11:02:23.219Z,177115334321906
"Your hand is 6♦, A♦",2026-02-15T11:02:23.219Z,177115334321905
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (11024) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (6349) | #8 ""大炮弟 @ 71ayGh_gzu"" (4860) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (30739)",2026-02-15T11:02:23.219Z,177115334321901
"-- starting hand #349 (id: 9v3kl0jlfplc)  No Limit Texas Hold'em (dealer: ""哈哈弟 @ ZFmgLXkPiV"") --",2026-02-15T11:02:23.219Z,177115334321900
"-- ending hand #348 --",2026-02-15T11:02:20.280Z,177115334028002
"""Wesley @ 4KT6D07Q4u"" collected 240 from pot",2026-02-15T11:02:20.280Z,177115334028001
"Uncalled bet of 240 returned to ""Wesley @ 4KT6D07Q4u""",2026-02-15T11:02:20.280Z,177115334028000
"""大炮弟 @ 71ayGh_gzu"" folds",2026-02-15T11:02:19.451Z,177115333945100
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:02:18.281Z,177115333828100
"""Wesley @ 4KT6D07Q4u"" bets 240",2026-02-15T11:02:13.422Z,177115333342200
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T11:02:11.058Z,177115333105800
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:02:08.009Z,177115332800900
"Turn: 7♣, 10♣, 2♠ [Q♦]",2026-02-15T11:02:06.269Z,177115332626900
"""大炮弟 @ 71ayGh_gzu"" calls 60",2026-02-15T11:02:05.435Z,177115332543500
"""哈哈弟 @ ZFmgLXkPiV"" calls 60",2026-02-15T11:02:04.258Z,177115332425800
"""Wesley @ 4KT6D07Q4u"" bets 60",2026-02-15T11:02:02.252Z,177115332225200
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T11:01:59.679Z,177115331967900
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:01:54.994Z,177115331499400
"Flop:  [7♣, 10♣, 2♠]",2026-02-15T11:01:52.259Z,177115331225900
"""大炮弟 @ 71ayGh_gzu"" checks",2026-02-15T11:01:51.399Z,177115331139900
"""哈哈弟 @ ZFmgLXkPiV"" calls 20",2026-02-15T11:01:49.877Z,177115330987700
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T11:01:48.747Z,177115330874700
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T11:01:47.629Z,177115330762900
"""大炮弟 @ 71ayGh_gzu"" posts a big blind of 20",2026-02-15T11:01:38.772Z,177115329877207
"""哈哈弟 @ ZFmgLXkPiV"" posts a small blind of 10",2026-02-15T11:01:38.772Z,177115329877206
"Your hand is 9♦, 5♥",2026-02-15T11:01:38.772Z,177115329877205
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10864) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (6429) | #8 ""大炮弟 @ 71ayGh_gzu"" (4940) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (30739)",2026-02-15T11:01:38.772Z,177115329877201
"-- starting hand #348 (id: buy5xfmp8jhv)  No Limit Texas Hold'em (dealer: ""Wesley @ 4KT6D07Q4u"") --",2026-02-15T11:01:38.772Z,177115329877200
"-- ending hand #347 --",2026-02-15T11:01:35.849Z,177115329584902
"""大炮弟 @ 71ayGh_gzu"" collected 80 from pot",2026-02-15T11:01:35.849Z,177115329584901
"Uncalled bet of 200 returned to ""大炮弟 @ 71ayGh_gzu""",2026-02-15T11:01:35.849Z,177115329584900
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:01:35.003Z,177115329500300
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T11:01:33.732Z,177115329373200
